anio_epi,semana_epi,departamento,casos_confirmados,casos_probables,casos_total,t2m_max_sem,t2m_min_sem,t2m_prom_sem,precip_total,precip_dias_lluvia,humedad_prom,viento_prom,t2m_prom_sem_lag1,t2m_prom_sem_lag2,t2m_prom_sem_lag3,t2m_prom_sem_lag4,precip_total_lag1,precip_total_lag2,precip_total_lag3,precip_total_lag4,humedad_prom_lag1,humedad_prom_lag2,humedad_prom_lag3,humedad_prom_lag4,t2m_max_sem_lag1,t2m_max_sem_lag2,t2m_max_sem_lag3,t2m_max_sem_lag4,amplitud_termica,grados_dia,en_rango_optimo,temp_bajo_letal_frio,temp_sobre_estres_calor,dist_temp_optima,semana_lluviosa,estacion_lluviosa,semana_sin,semana_cos,casos_total_lag1,casos_total_lag2,casos_total_lag3,casos_total_lag4,casos_tendencia,casos_promedio_4sem
2015,3,Ahuachapan,1.0,,1,30.34,18.43,23.825714285714287,0.6300000000000001,2,68.40714285714286,3.18,24.15285714285714,23.25857142857143,24.3,,1.14,0.77,0.08,,68.73285714285714,68.28,69.49,,30.77,31.27,30.94,,11.91,13.825714285714287,1,0,0,3.1742857142857126,0,0,0.3546048870425356,0.9350162426854148,,,,,,
2015,4,Ahuachapan,1.0,,1,29.18,15.73,21.481428571428573,0.45,1,64.96000000000001,6.922857142857143,23.825714285714287,24.15285714285714,23.25857142857143,24.3,0.6300000000000001,1.14,0.77,0.08,68.40714285714286,68.73285714285714,68.28,69.49,30.34,30.77,31.27,30.94,13.449999999999998,11.481428571428571,0,0,0,5.518571428571427,0,0,0.4647231720437685,0.8854560256532099,1.0,,,,,1.0
2015,5,Ahuachapan,1.0,,1,31.74,18.05,23.854285714285712,0.9200000000000002,2,64.22142857142858,4.332857142857143,21.481428571428573,23.825714285714287,24.15285714285714,23.25857142857143,0.45,0.6300000000000001,1.14,0.77,64.96000000000001,68.40714285714286,68.73285714285714,68.28,29.18,30.34,30.77,31.27,13.689999999999998,13.854285714285712,1,0,0,3.145714285714288,0,0,0.5680647467311558,0.8229838658936564,1.0,1.0,,,0.0,1.0
2015,6,Ahuachapan,0.0,,0,31.05,17.0,23.294285714285717,0.48,2,63.39714285714285,4.111428571428571,23.854285714285712,21.481428571428573,23.825714285714287,24.15285714285714,0.9200000000000002,0.45,0.6300000000000001,1.14,64.22142857142858,64.96000000000001,68.40714285714286,68.73285714285714,31.74,29.18,30.34,30.77,14.05,13.294285714285714,1,0,0,3.7057142857142864,0,0,0.6631226582407952,0.7485107481711011,1.0,1.0,1.0,,0.0,1.0
2015,7,Ahuachapan,1.0,,1,32.29,17.21,23.641428571428573,1.3,2,62.75714285714286,4.852857142857142,23.294285714285717,23.854285714285712,21.481428571428573,23.825714285714287,0.48,0.9200000000000002,0.45,0.6300000000000001,63.39714285714285,64.22142857142858,64.96000000000001,68.40714285714286,31.05,31.74,29.18,30.34,15.079999999999998,13.641428571428571,1,0,0,3.3585714285714268,0,0,0.7485107481711011,0.6631226582407953,0.0,1.0,1.0,1.0,-1.0,0.75
2015,8,Ahuachapan,1.0,,1,33.4,19.66,25.728571428571428,0.5,2,62.26428571428571,3.2271428571428573,23.641428571428573,23.294285714285717,23.854285714285712,21.481428571428573,1.3,0.48,0.9200000000000002,0.45,62.75714285714286,63.39714285714285,64.22142857142858,64.96000000000001,32.29,31.05,31.74,29.18,13.739999999999998,15.728571428571428,1,0,0,1.2714285714285722,0,0,0.8229838658936564,0.5680647467311559,1.0,0.0,1.0,1.0,1.0,0.75
2015,9,Ahuachapan,0.0,,0,33.45,19.4,25.728571428571428,0.26,1,59.92857142857143,4.798571428571429,25.728571428571428,23.641428571428573,23.294285714285717,23.854285714285712,0.5,1.3,0.48,0.9200000000000002,62.26428571428571,62.75714285714286,63.39714285714285,64.22142857142858,33.4,32.29,31.05,31.74,14.050000000000004,15.728571428571428,1,0,0,1.2714285714285722,0,0,0.8854560256532099,0.4647231720437686,1.0,1.0,0.0,1.0,0.0,0.75
2015,10,Ahuachapan,1.0,,1,34.78,18.71,25.96142857142857,0.38,1,58.932857142857145,4.051428571428572,25.728571428571428,25.728571428571428,23.641428571428573,23.294285714285717,0.26,0.5,1.3,0.48,59.92857142857143,62.26428571428571,62.75714285714286,63.39714285714285,33.45,33.4,32.29,31.05,16.07,15.96142857142857,1,0,0,1.03857142857143,0,0,0.9350162426854148,0.3546048870425355,0.0,1.0,1.0,0.0,-1.0,0.5
2015,11,Ahuachapan,1.0,,1,33.11,19.63,25.40857142857143,0.65,2,59.52285714285715,3.371428571428571,25.96142857142857,25.728571428571428,25.728571428571428,23.641428571428573,0.38,0.26,0.5,1.3,58.932857142857145,59.92857142857143,62.26428571428571,62.75714285714286,34.78,33.45,33.4,32.29,13.48,15.408571428571433,1,0,0,1.591428571428569,0,0,0.970941817426052,0.239315664287558,1.0,0.0,1.0,1.0,1.0,0.75
2015,13,Ahuachapan,0.0,,0,33.88,20.47,26.25857142857143,5.62,4,64.43714285714286,3.045714285714286,25.860000000000003,25.40857142857143,25.96142857142857,25.728571428571428,11.419999999999998,0.65,0.38,0.26,66.08428571428571,59.52285714285715,58.932857142857145,59.92857142857143,33.64,33.11,34.78,33.45,13.410000000000004,16.25857142857143,1,0,0,0.7414285714285711,0,0,1.0,-1.6081226496766366e-16,1.0,1.0,0.0,1.0,0.0,0.75
