anio_epi,semana_epi,calendar_start_date,calendar_end_date,casos_dengue,t2m_max_sem,t2m_min_sem,t2m_prom_sem,precip_total,precip_dias_lluvia,humedad_prom,viento_prom,amplitud_termica,grados_dia,en_rango_optimo,dist_temp_optima,semana_lluviosa,estacion_lluviosa,semana_sin,semana_cos,t2m_prom_sem_lag1,t2m_prom_sem_lag2,t2m_prom_sem_lag3,t2m_prom_sem_lag4,precip_total_lag1,precip_total_lag2,precip_total_lag3,precip_total_lag4,humedad_prom_lag1,humedad_prom_lag2,humedad_prom_lag3,humedad_prom_lag4,casos_dengue_lag1,casos_dengue_lag2,casos_dengue_lag3,casos_dengue_lag4,casos_tendencia,casos_promedio_4sem
2014,1,2013-12-29,2014-01-04,264,31.650104166666665,21.321354166666666,25.898958333333336,0.4620833333333333,0.8333333333333334,64.02604166666667,2.692916666666666,10.32875,15.898958333333336,1,1.1010416666666636,0,0,0.12053668025532305,0.992708874098054,,,,,,,,,,,,,,,,,,
2014,2,2014-01-05,2014-01-11,373,30.76136904761905,20.648928571428574,25.086964285714288,1.2358333333333331,2.9166666666666665,63.38529761904763,3.5573214285714285,10.112440476190475,15.086964285714288,1,1.9130357142857122,0,0,0.23931566428755774,0.970941817426052,25.898958333333336,,,,0.4620833333333333,,,,64.02604166666667,,,,264.0,,,,,264.0
2014,3,2014-01-12,2014-01-18,373,31.10642857142857,19.970297619047617,24.833511904761902,1.14375,2.875,60.17178571428571,3.780892857142856,11.136130952380952,14.833511904761902,1,2.1664880952380976,0,0,0.3546048870425356,0.9350162426854148,25.086964285714288,25.898958333333336,,,1.2358333333333331,0.4620833333333333,,,63.38529761904763,64.02604166666667,,,373.0,264.0,,,109.0,318.5
2014,4,2014-01-19,2014-01-25,358,31.78190476190476,20.97494047619048,25.701607142857146,1.42125,2.708333333333333,60.40380952380952,3.939047619047619,10.80696428571428,15.701607142857146,1,1.2983928571428542,0,0,0.4647231720437685,0.8854560256532099,24.833511904761902,25.086964285714288,25.898958333333336,,1.14375,1.2358333333333331,0.4620833333333333,,60.17178571428571,63.38529761904763,64.02604166666667,,373.0,373.0,264.0,,0.0,336.6666666666667
2014,5,2014-01-26,2014-02-01,417,31.97809523809524,21.739166666666662,26.22892857142857,0.3825,1.4166666666666667,61.7864880952381,2.18,10.238928571428577,16.22892857142857,1,0.7710714285714317,0,0,0.5680647467311558,0.8229838658936564,25.701607142857146,24.833511904761902,25.086964285714288,25.898958333333336,1.42125,1.14375,1.2358333333333331,0.4620833333333333,60.40380952380952,60.17178571428571,63.38529761904763,64.02604166666667,358.0,373.0,373.0,264.0,-15.0,342.0
2014,6,2014-02-02,2014-02-08,389,32.078809523809525,22.18285714285714,26.48327380952381,0.29875,0.5416666666666666,60.385892857142856,1.858809523809524,9.895952380952384,16.48327380952381,1,0.5167261904761915,0,0,0.6631226582407952,0.7485107481711011,26.22892857142857,25.701607142857146,24.833511904761902,25.086964285714288,0.3825,1.42125,1.14375,1.2358333333333331,61.7864880952381,60.40380952380952,60.17178571428571,63.38529761904763,417.0,358.0,373.0,373.0,59.0,380.25
2014,7,2014-02-09,2014-02-15,406,33.296726190476186,23.10232142857143,27.6175,2.0241666666666664,5.166666666666667,58.55916666666667,2.2585714285714285,10.194404761904757,17.6175,1,0.6174999999999997,0,0,0.7485107481711011,0.6631226582407953,26.48327380952381,26.22892857142857,25.701607142857146,24.833511904761902,0.29875,0.3825,1.42125,1.14375,60.385892857142856,61.7864880952381,60.40380952380952,60.17178571428571,389.0,417.0,358.0,373.0,-28.0,384.25
2014,8,2014-02-16,2014-02-22,430,33.43833333333333,22.992857142857144,27.534761904761904,1.6545833333333333,2.4166666666666665,57.57839285714286,2.350119047619047,10.445476190476189,17.534761904761904,1,0.5347619047619041,0,0,0.8229838658936564,0.5680647467311559,27.6175,26.48327380952381,26.22892857142857,25.701607142857146,2.0241666666666664,0.29875,0.3825,1.42125,58.55916666666667,60.385892857142856,61.7864880952381,60.40380952380952,406.0,389.0,417.0,358.0,17.0,392.5
2014,9,2014-02-23,2014-03-01,417,33.40083333333333,23.02035714285714,27.43922619047619,0.2470833333333333,0.5,58.467976190476186,2.040595238095238,10.380476190476191,17.43922619047619,1,0.43922619047619094,0,0,0.8854560256532099,0.4647231720437686,27.534761904761904,27.6175,26.48327380952381,26.22892857142857,1.6545833333333333,2.0241666666666664,0.29875,0.3825,57.57839285714286,58.55916666666667,60.385892857142856,61.7864880952381,430.0,406.0,389.0,417.0,24.0,410.5
2014,10,2014-03-02,2014-03-08,160,32.27946428571428,23.439047619047617,27.13232142857143,8.055416666666668,3.125,62.615833333333335,2.156964285714286,8.840416666666666,17.13232142857143,1,0.13232142857143003,0,0,0.9350162426854148,0.35460488704253557,27.43922619047619,27.534761904761904,27.6175,26.48327380952381,0.2470833333333333,1.6545833333333333,2.0241666666666664,0.29875,58.467976190476186,57.57839285714286,58.55916666666667,60.385892857142856,417.0,430.0,406.0,389.0,-13.0,410.5
2014,11,2014-03-09,2014-03-15,726,32.62803571428572,23.68386904761905,27.503869047619048,8.075000000000001,5.666666666666667,64.43440476190476,2.261964285714285,8.944166666666671,17.503869047619048,1,0.5038690476190482,0,0,0.970941817426052,0.23931566428755804,27.13232142857143,27.43922619047619,27.534761904761904,27.6175,8.055416666666668,0.2470833333333333,1.6545833333333333,2.0241666666666664,62.615833333333335,58.467976190476186,57.57839285714286,58.55916666666667,160.0,417.0,430.0,406.0,-257.0,353.25
2014,12,2014-03-16,2014-03-22,602,33.225833333333334,23.78398809523809,27.96017857142857,0.0816666666666666,0.0833333333333333,59.85875000000001,2.4166666666666665,9.441845238095244,17.96017857142857,1,0.9601785714285711,0,0,0.992708874098054,0.120536680255323,27.503869047619048,27.13232142857143,27.43922619047619,27.534761904761904,8.075000000000001,8.055416666666668,0.2470833333333333,1.6545833333333333,64.43440476190476,62.615833333333335,58.467976190476186,57.57839285714286,726.0,160.0,417.0,430.0,566.0,433.25
2014,13,2014-03-23,2014-03-29,647,35.33238095238095,24.026130952380957,28.979285714285712,1.04,2.0,53.385,2.288392857142857,11.306249999999995,18.979285714285712,1,1.9792857142857123,0,0,1.0,-1.6081226496766364e-16,27.96017857142857,27.503869047619048,27.13232142857143,27.43922619047619,0.0816666666666666,8.075000000000001,8.055416666666668,0.2470833333333333,59.85875000000001,64.43440476190476,62.615833333333335,58.467976190476186,602.0,726.0,160.0,417.0,-124.0,476.25
2014,14,2014-03-30,2014-04-05,711,34.22464285714286,24.47738095238095,28.720357142857143,0.10625,0.1666666666666666,58.20613095238095,2.3330952380952383,9.74726190476191,18.720357142857143,1,1.720357142857143,0,0,0.992708874098054,-0.12053668025532288,28.979285714285712,27.96017857142857,27.503869047619048,27.13232142857143,1.04,0.0816666666666666,8.075000000000001,8.055416666666668,53.385,59.85875000000001,64.43440476190476,62.615833333333335,647.0,602.0,726.0,160.0,45.0,533.75
2014,15,2014-04-06,2014-04-12,635,33.93452380952381,22.638928571428576,27.74375,0.9866666666666668,1.4583333333333333,54.68220238095238,3.669523809523809,11.295595238095235,17.74375,1,0.7437499999999986,0,0,0.9709418174260521,-0.2393156642875575,28.720357142857143,28.979285714285712,27.96017857142857,27.503869047619048,0.10625,1.04,0.0816666666666666,8.075000000000001,58.20613095238095,53.385,59.85875000000001,64.43440476190476,711.0,647.0,602.0,726.0,64.0,671.5
2014,16,2014-04-13,2014-04-19,420,33.804702380952385,24.21345238095238,28.466011904761903,0.26375,0.0833333333333333,56.99220238095239,2.203392857142857,9.591250000000006,18.466011904761903,1,1.4660119047619027,0,0,0.9350162426854148,-0.35460488704253545,27.74375,28.720357142857143,28.979285714285712,27.96017857142857,0.9866666666666668,0.10625,1.04,0.0816666666666666,54.68220238095238,58.20613095238095,53.385,59.85875000000001,635.0,711.0,647.0,602.0,-76.0,648.75
2014,17,2014-04-20,2014-04-26,614,33.6527380952381,25.299761904761905,28.919464285714287,2.044166666666667,4.791666666666667,60.78839285714286,2.258154761904762,8.352976190476195,18.919464285714287,1,1.9194642857142874,0,0,0.8854560256532099,-0.4647231720437685,28.466011904761903,27.74375,28.720357142857143,28.979285714285712,0.26375,0.9866666666666668,0.10625,1.04,56.99220238095239,54.68220238095238,58.20613095238095,53.385,420.0,635.0,711.0,647.0,-215.0,603.25
2014,18,2014-04-27,2014-05-03,568,30.661607142857147,24.78428571428572,27.191369047619048,20.80125,6.333333333333333,72.23035714285714,1.7035714285714283,5.8773214285714275,17.191369047619048,1,0.19136904761904816,1,1,0.8229838658936565,-0.5680647467311557,28.919464285714287,28.466011904761903,27.74375,28.720357142857143,2.044166666666667,0.26375,0.9866666666666668,0.10625,60.78839285714286,56.99220238095239,54.68220238095238,58.20613095238095,614.0,420.0,635.0,711.0,194.0,595.0
2014,19,2014-05-04,2014-05-10,706,31.385654761904764,24.243333333333336,27.097440476190474,32.67541666666667,7.0,74.26130952380953,2.091309523809524,7.142321428571428,17.097440476190474,1,0.09744047619047436,1,1,0.7485107481711013,-0.663122658240795,27.191369047619048,28.919464285714287,28.466011904761903,27.74375,20.80125,2.044166666666667,0.26375,0.9866666666666668,72.23035714285714,60.78839285714286,56.99220238095239,54.68220238095238,568.0,614.0,420.0,635.0,-46.0,559.25
2014,20,2014-05-11,2014-05-17,804,31.20482142857143,24.02714285714286,27.034404761904764,24.874583333333334,6.458333333333333,70.4067857142857,2.4682738095238093,7.177678571428572,17.034404761904764,1,0.0344047619047636,1,1,0.6631226582407952,-0.7485107481711012,27.097440476190474,27.191369047619048,28.919464285714287,28.466011904761903,32.67541666666667,20.80125,2.044166666666667,0.26375,74.26130952380953,72.23035714285714,60.78839285714286,56.99220238095239,706.0,568.0,614.0,420.0,138.0,577.0
2014,21,2014-05-18,2014-05-24,847,31.815238095238097,24.32130952380952,27.49708333333333,23.258333333333336,6.166666666666667,69.83196428571428,1.9914285714285715,7.493928571428576,17.49708333333333,1,0.4970833333333289,1,1,0.5680647467311558,-0.8229838658936564,27.034404761904764,27.097440476190474,27.191369047619048,28.919464285714287,24.874583333333334,32.67541666666667,20.80125,2.044166666666667,70.4067857142857,74.26130952380953,72.23035714285714,60.78839285714286,804.0,706.0,568.0,614.0,98.0,673.0
